Label,Message
1,"Você ganhou um prêmio! Clique aqui para receber agora."
1,"Parabéns! Você foi selecionado para ganhar R$ 10.000."
1,"OFERTA IMPERDÍVEL! Compre agora com 90% de desconto."
1,"Clique neste link e ganhe dinheiro rápido."
1,"Você foi escolhido! Responda agora para receber seu prêmio."
1,"URGENTE! Sua conta foi selecionada para receber um bônus."
1,"Ganhe dinheiro trabalhando de casa. Clique aqui."
1,"Promoção exclusiva! Aproveite antes que termine."
1,"Você ganhou um iPhone grátis! Clique para receber."
1,"Última chance! Resgate seu prêmio agora."
0,"Oi, tudo bem? Podemos conversar mais tarde?"
0,"A reunião foi marcada para amanhã às 14h."
0,"Segue o relatório que você pediu."
0,"Você pode me enviar aquele arquivo?"
0,"Vou chegar em casa por volta das oito."
0,"Obrigado pela ajuda de ontem."
0,"O professor avisou que a prova será sexta-feira."
0,"Vamos marcar de estudar juntos amanhã."
0,"Seu pedido foi entregue hoje."
0,"Te mando as informações assim que terminar."
